ancien_article,nouvel_article
1101,1101
1134,1103
1134,1104
1107,1105
1102,1106
1105,1107
1104,1108
1369-1,1125
1369-2,1126
1369-3,1127
1369-4,1127-1
1369-5,1127-2
1369-6,1127-3
1369-5,1127-1
1369-7,1127-4
1369-8,1127-5
1369-9,1127-6
1108,1128
1109,1130
1110,1132
1110,1134
1116,1137
1112,1140
1111,1142
1304,1144
1123,1145
1124,1146
488,425
1305,1149
1311,1151
1304,1152
1131,1162
1129,1163
1246,1166
1118,1168
1131,1169
1108-1,1174
1108-2,1175
1369-10,1176
1369-11,1177
1115,1182
1156,1188
1161,1189
1162,1190
1157,1191
1134,1193
1135,1194
1138,1196
1136,1197
1141,1198
1165,1199
1321,1201
1321-1,1202
1119,1203
1120,1204
1121,1205
1148,1218
1142,1221
1143,1222
1184,1224
1146,1231
1147,1231-1
1149,1231-2
1150,1231-3
1151,1231-4
1152,1231-5
1153,1231-6
1153-1,1231-7
1382,1240
1383,1241
1384,1242
1733,1733
1385,1243
1386,1244
1386-1,1245
1386-2,1245-1
1386-3,1245-2
1386-4,1245-3
1386-6,1245-5
1792,1792
1386-7,1245-6
1386-8,1245-7
1386-9,1245-8
1386-10,1245-9
1386-11,1245-10
1386-12,1245-11
1386-14,1245-13
1386-15,1245-14
1386-16,1245-15
1386-17,1245-16
1386-18,1245-17
1371,1300
1372,1301
1373,1301-1
1375,1301-2
1235,1302
1376,1302-1
1377,1302-2
1181,1304
1172,1304-1
1174,1304-2
1178,1304-3
1180,1304-5
1179,1304-6
1179,1304-7
1185,1305
1186,1305-2
1187,1305-3
1188,1305-4
1189,1307
1190,1307-1
1193,1307-2
1195,1307-5
1202,1309
1202,1310
1197,1311
1199,1312
1200,1313
1207,1314
1208,1315
1210,1316
1213,1317
1216,1318
1222,1320
1692,1321
1694,1326
1271,1329
1273,1330
1274,1332
1278,1334
1280,1335
1275,1337
1277,1340
1166,1341-1
1167,1341-2
1236,1342-1
1239,1342-2
1240,1342-3
1243,1342-4
1245,1342-5
1247,1342-6
1248,1342-7
1282,1342-9
1253,1342-10
1254,1343-1
1154,1343-2
1244-1,1343-5
1139,1344
1153,1344-1
1138,1344-2
1257,1345
1260,1345-3
1251,1346
1250,1346-1
1250,1346-2
1252,1346-3
1289,1347
1290,1347-1
1293,1347-2
1292,1347-3
1297,1347-4
1295,1347-5
1294,1347-6
1298,1347-7
1300,1349
1301,1349-1
1285,1350-1
1287,1350-2
1148,1351
1302,1351-1
1312,1352-4
1315,1353
1350,1354
1351,1355
1341,1359
1348,1360
1347,1362
1316,1365
1316-1,1366
1316-4,1367
1316-2,1368
1317,1369
1318,1370
1319,1371
1322,1372
1323,1373
1325,1375
1326,1376
1328,1377
1329,1378
1331,1378-1
1332,1378-2
1334,1379
1337,1380
1353,1382
1354,1383
1355,1383-1
1356,1383-2
1357,1384
1358,1385
1359,1385-1
1361,1385-2
1363,1385-3
1365,1385-4
1366,1386
1367,1386-1
